Currency,,Amount Owned,Price,Value,Percent of portfolio,Total Portfolio Value
DOCH,0.70901917,,,,,
DOCK,0.00655265,,,,,
DOGE,0.00228915,,,,,
DOGEC,0.01750775,,,,,
DOLLAR,0.11914104,,,,,
DOPE,0.00179567,,,,,
DOSNETWORK,0.00267284,,,,,
DOT,113.4548762,,,,,
DOTIOU,137.5821924,,,,,
DOVU,0.00121845,,,,,
DOW,0.00950235,,,,,
DPT,7.6468404,,,,,
DREAM,0.01589165,,,,,
DREAMSCAPE,3.04884653,,,,,
DREP,0.00278332,,,,,
DRG,0.04417601,,,,,
DRGN,0.07526383,,,,,
DRGNBEAR,114.375,,,,,
DRGNBULL,439.5,,,,,
DRM,0.00438511,,,,,
DRT,0.00160057,,,,,
DSC,0.00008978,,,,,
DSLA,0.00032653,,,,,
DSR,0.00071827,,,,,
DST,0.00035913,,,,,
DT,1.44462184,,,,,
DTA,0.000275,,,,,
DTC,0.00026935,,,,,
DTE,0.00142174,,,,,
DTEM,0.00005387,,,,,
DTH,0.00152,,,,,
DTR,0.01187401,,,,,
DTX,0.04354493,,,,,
DUDGX,0.00017957,,,,,
DUO,0.00499061,,,,,
DUSK,0.0288529,,,,,
DVC,0.21074062,,,,,
DVP,0.00906182,,,,,
DVT,0.00054768,,,,,
DVX,0.02472325,,,,,
DX,0.00194962,,,,,
DXG,0.00000221,,,,,
DXO,0.01318918,,,,,
DXR,0.64798852,,,,,
DXT,0.00088692,,,,,
DXTS,2.65595848,,,,,
DYNMT,0.19635922,,,,,
DYT,0.01469367,,,,,
E01,0.00049641,,,,,
E2C,0.00273683,,,,,
EAC,0.00006734,,,,,
EAI,0.0026453,,,,,
EASTICOIN,0.00888855,,,,,
EASYMINE,0.00377049,,,,,
EBASE,1.11204035,,,,,
EBC,0.00008308,,,,,
EBK,0.00253831,,,,,
EBLOAP,136.48,,,,,
ECA,0.00024576,,,,,
ECASH,0.004592,,,,,
ECO,0.00076601,,,,,
ECOM,0.00201652,,,,,
ECOREAL,0.05153565,,,,,
ECP,0.00089851,,,,,
ECPN,0.00000441,,,,,
ECTE,0.08575107,,,,,
ED,0.00727245,,,,,
EDC,0.00110458,,,,,
EDC20,0.00310442,,,,,
EDEL,0.22002561,,,,,
EDG,0.00677077,,,,,
EDI,0.00746899,,,,,
EDN,0.00120841,,,,,
EDO,0.63305307,,,,,
EDR,0.00463487,,,,,
EDRA,0.00000441,,,,,
EDU,0.00011961,,,,,
EER,0.00035913,,,,,
EGCC,0.00010229,,,,,
EGEM,0.0033579,,,,,
EGT,0.00096776,,,,,
EGWCAP,0.00019856,,,,,
EKO,0.00140415,,,,,
EKT,0.00754374,,,,,
ELA,1.43287242,,,,,
ELAC,0.00340609,,,,,
ELD,0.00125687,,,,,
ELEC,0.00131242,,,,,
ELF,0.08628387,,,,,
ELICOIN,0.00026935,,,,,
ELITE,0.00368112,,,,,
ELOAP,105.64,,,,,
ELPH,0.00017957,,,,,
ELT,0.00448917,,,,,
ELTCOIN,0.00020739,,,,,
ELY,0.00058737,,,,,
EMANATE,0.00904476,,,,,
EMC,0.05074176,,,,,
EMC2,0.04943536,,,,,
EMD,0.00520743,,,,,
EMRALS,0.01414205,,,,,
EMRX,0.39924863,,,,,
EMS,2.00644742,,,,,
ENCRYPTOTELETH2,0.00386068,,,,,
ENDORSIT,0.00000265,,,,,
ENG,0.22380231,,,,,
ENJ,0.15089143,,,,,
ENQ,0.00727259,,,,,
ENTS,0.0000011,,,,,
ENY,0.00089783,,,,,
EOS,2.31083115,,,,,
EOSBEAR,11.535,,,,,
EOSBULL,2.259,,,,,
EOSDAC,0.00125536,,,,,
EOSDT,0.99601927,,,,,
EPAY,0.00787413,,,,,
EPH,0.00006788,,,,,
EPIC,0.0577307,,,,,
EPWR,0.00000221,,,,,
EQUAD,0.00029793,,,,,
ERC20,0.05041959,,,,,
ERD,0.00475849,,,,,
ERISTICA,0.00197523,,,,,
ERK,0.00764353,,,,,
ERO,0.00071827,,,,,
ERZ,0.00034118,,,,,
ESBC,0.02218471,,,,,
ESCX,0.00024489,,,,,
ESH,0.08754386,,,,,
ESK,0.01301859,,,,,
ESN,0.00156223,,,,,
ESP,0.00001765,,,,,
ESR,0.01265945,,,,,
ESS,0.00008825,,,,,
ETA,0.00000132,,,,,
ETAS,102.16,,,,,
ETBOLD,0.00063981,,,,,
ETC,5.56024265,,,,,
ETCBEAR,29.79,,,,,
ETCBULL,71.375,,,,,
ETGP,0.00001103,,,,,
ETH,220.0773384,,,,,
ETH12EMACO,234.05,,,,,
ETH20SMACO,418.41,,,,,
ETH26EMACO,264.6,,,,,
ETH50SMACO,220.87,,,,,
ETHBEAR,1.04725,,,,,
ETHBNT,0.58359182,,,,,
ETHBTC7525,138.21,,,,,
ETHBULL,195.1,,,,,
ETHDAIS,102.89,,,,,
ETHEMAAPY,259.94,,,,,
ETHERLEGENDS,0.04147763,,,,,
ETHM,0.00017957,,,,,
ETHMACOAPY,375.37,,,,,
ETHMOONX,95.13,,,,,
ETHMOONX2,136.93,,,,,
ETHO,0.0030396,,,,,
ETHOS,0.04669493,,,,,
ETHPA,162.22,,,,,
ETHRSI6040,253.55,,,,,
ETHRSIAPY,252.81,,,,,
ETHUSDADL4,122.22,,,,,
ETI,0.00005028,,,,,
ETK,0.00008619,,,,,
